mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,manufacturer,brand
16,8,400,230,4278,9.5,73,American,"	pontiac grand prix","	pontiac","	pontiac"
14,8,455,225,4425,10,70,American,"	pontiac catalina","	pontiac","	pontiac"
14,8,455,225,3086,10,70,American,"	buick estate wagon (sw)","	buick","	buick"
12,8,455,225,4951,11,73,American,"	buick electra 225 custom","	buick","	buick"
14,8,454,220,4354,9,70,American,"	chevrolet impala","	chevrolet","	chevrolet"
14,8,440,215,4312,8.5,70,American,"	plymouth fury iii","	plymouth","	plymouth"
10,8,360,215,4615,14,70,American,"	ford f250","	ford","	ford"
13,8,440,215,4735,11,73,American,"	chrysler new yorker brougham","	chrysler","	chrysler"
11,8,318,210,4382,13.5,70,American,"	dodge d200","	dodge","	dodge"
11,8,429,208,4633,11,72,American,"	mercury marquis","	mercury","	mercury"
10,8,307,200,4376,15,70,American,"	chevy c20","	chevy","	chevy"
15,8,429,198,4341,10,70,American,"	ford galaxie 500","	ford","	ford"
12,8,429,198,4952,11.5,73,American,"	mercury marquis brougham","	mercury","	mercury"
9,8,304,193,4732,18.5,70,American,"	hi 1200d","	hi","	hi"
15,8,390,190,3850,8.5,70,American,"	amc ambassador dpl","	amc","	amc"
13,8,400,190,4422,12.5,72,American,"	chrysler newport royal","	chrysler","	chrysler"
15.5,8,400,190,4325,12.2,77,American,"	chrysler cordoba","	chrysler","	chrysler"
12,8,383,180,4955,11.5,71,American,"	dodge monaco (sw)","	dodge","	dodge"
12,8,350,180,4499,12.5,73,American,"	oldsmobile vista cruiser","	oldsmobile","	oldsmobile"
11,8,350,180,3664,11,73,American,"	oldsmobile omega","	oldsmobile","	oldsmobile"
16.5,8,350,180,4380,12.1,76,American,"	cadillac seville","	cadillac","	cadillac"
16,8,400,180,4220,11.1,77,American,"	pontiac grand prix lj","	pontiac","	pontiac"
14,8,400,175,4464,11.5,71,American,"	pontiac catalina brougham","	pontiac","	pontiac"
13,8,400,175,5140,12,71,American,"	pontiac safari (sw)","	pontiac","	pontiac"
14,8,400,175,4385,12,72,American,"	pontiac catalina","	pontiac","	pontiac"
13,8,350,175,4100,13,73,American,"	buick century 350","	buick","	buick"
13,8,360,175,3821,11,73,American,"	amc ambassador brougham","	amc","	amc"
15,8,383,170,3563,10,70,American,"	dodge challenger se","	dodge","	dodge"
