mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,brand,manufacturer,name
16,8,400,230,4278,9.5,73,1,27,"	pontiac","	pontiac grand prix"
14,8,455,225,4425,10,70,1,27,"	pontiac","	pontiac catalina"
14,8,455,225,3086,10,70,1,4,"	buick","	buick estate wagon (sw)"
12,8,455,225,4951,11,73,1,4,"	buick","	buick electra 225 custom"
14,8,454,220,4354,9,70,1,8,"	chevrolet","	chevrolet impala"
14,8,440,215,4312,8.5,70,1,26,"	plymouth","	plymouth fury iii"
10,8,360,215,4615,14,70,1,14,"	ford","	ford f250"
13,8,440,215,4735,11,73,1,10,"	chrysler","	chrysler new yorker brougham"
11,8,318,210,4382,13.5,70,1,12,"	dodge","	dodge d200"
11,8,429,208,4633,11,72,1,21,"	mercury","	mercury marquis"
10,8,307,200,4376,15,70,1,9,"	chevy","	chevy c20"
15,8,429,198,4341,10,70,1,14,"	ford","	ford galaxie 500"
12,8,429,198,4952,11.5,73,1,21,"	mercury","	mercury marquis brougham"
9,8,304,193,4732,18.5,70,1,15,"	hi","	hi 1200d"
15,8,390,190,3850,8.5,70,1,1,"	amc","	amc ambassador dpl"
13,8,400,190,4422,12.5,72,1,10,"	chrysler","	chrysler newport royal"
15.5,8,400,190,4325,12.2,77,1,10,"	chrysler","	chrysler cordoba"
12,8,383,180,4955,11.5,71,1,12,"	dodge","	dodge monaco (sw)"
12,8,350,180,4499,12.5,73,1,23,"	oldsmobile","	oldsmobile vista cruiser"
11,8,350,180,3664,11,73,1,23,"	oldsmobile","	oldsmobile omega"
16.5,8,350,180,4380,12.1,76,1,5,"	cadillac","	cadillac seville"
16,8,400,180,4220,11.1,77,1,27,"	pontiac","	pontiac grand prix lj"
14,8,400,175,4464,11.5,71,1,27,"	pontiac","	pontiac catalina brougham"
13,8,400,175,5140,12,71,1,27,"	pontiac","	pontiac safari (sw)"
14,8,400,175,4385,12,72,1,27,"	pontiac","	pontiac catalina"
13,8,350,175,4100,13,73,1,4,"	buick","	buick century 350"
13,8,360,175,3821,11,73,1,1,"	amc","	amc ambassador brougham"
15,8,383,170,3563,10,70,1,12,"	dodge","	dodge challenger se"
13,8,400,170,4746,12,71,1,14,"	ford","	ford country squire (sw)"
13,8,360,170,4654,13,73,1,26,"	plymouth","	plymouth custom suburb"
16,8,400,170,4668,11.5,75,1,27,"	pontiac","	pontiac catalina"
15.5,8,350,170,4165,11.4,77,1,8,"	chevrolet","	chevrolet monte carlo landau"
12,8,400,167,4906,12.5,73,1,14,"	ford","	ford country"
15,8,350,165,3693,11.5,70,1,4,"	buick","	buick skylark 320"
14,8,350,165,4209,12,71,1,8,"	chevrolet","	chevrolet impala"
13,8,350,165,4274,12,72,1,8,"	chevrolet","	chevrolet impala"
17.7,6,231,165,3445,13.4,78,1,4,"	buick","	buick regal sport coupe (turbo)"
14,8,340,160,3609,8,70,1,26,"	plymouth","	plymouth 'cuda 340"
12,8,350,160,4456,13.5,72,1,23,"	oldsmobile","	oldsmobile delta 88 royale"
13,8,351,158,4363,13,73,1,14,"	ford","	ford ltd"
13,8,350,155,4502,13.5,72,1,4,"	buick","	buick lesabre custom"
16.9,8,350,155,4360,14.9,79,1,4,"	buick","	buick estate wagon (sw)"
14,8,351,153,4154,13.5,71,1,14,"	ford","	ford galaxie 500"
14,8,351,153,4129,13,72,1,14,"	ford","	ford galaxie 500"
14.5,8,351,152,4215,12.8,76,1,14,"	ford","	ford gran torino"
18,8,318,150,3436,11,70,1,26,"	plymouth","	plymouth satellite"
16,8,304,150,3433,12,70,1,1,"	amc","	amc rebel sst"
15,8,400,150,3761,9.5,70,1,8,"	chevrolet","	chevrolet monte carlo"
14,8,318,150,4096,13,71,1,26,"	plymouth","	plymouth fury iii"
15,8,318,150,4135,13.5,72,1,26,"	plymouth","	plymouth fury iii"
17,8,304,150,3672,11.5,72,1,1,"	amc","	amc ambassador sst"
15,8,304,150,3892,12.5,72,1,1,"	amc","	amc matador (sw)"
14,8,318,150,4077,14,72,1,26,"	plymouth","	plymouth satellite custom (sw)"
14,8,304,150,3672,11.5,73,1,1,"	amc","	amc matador"
15,8,318,150,3777,12.5,73,1,12,"	dodge","	dodge coronet custom"
13,8,400,150,4464,12,73,1,8,"	chevrolet","	chevrolet caprice classic"
14,8,318,150,4237,14.5,73,1,26,"	plymouth","	plymouth fury gran sedan"
11,8,400,150,4997,14,73,1,8,"	chevrolet","	chevrolet impala"
15,8,318,150,3399,11,73,1,12,"	dodge","	dodge dart custom"
13,8,350,150,4699,14.5,74,1,4,"	buick","	buick century luxus (sw)"
14,8,318,150,4457,13.5,74,1,12,"	dodge","	dodge coronet custom (sw)"
14,8,304,150,4257,15.5,74,1,1,"	amc","	amc matador (sw)"
16,8,318,150,4498,14.5,75,1,26,"	plymouth","	plymouth grand fury"
16,8,318,150,4190,13,76,1,12,"	dodge","	dodge coronet brougham"
13,8,318,150,3940,13.2,76,1,26,"	plymouth","	plymouth volare premier v8"
13,8,318,150,3755,14,76,1,12,"	dodge","	dodge d100"
18.5,8,360,150,3940,13,79,1,10,"	chrysler","	chrysler lebaron town @ country (s"
16,8,351,149,4335,14.5,77,1,14,"	ford","	ford thunderbird"
14,8,351,148,4657,13.5,75,1,14,"	ford","	ford ltd"
13,8,350,145,3988,13,73,1,8,"	chevrolet","	chevrolet malibu"
15,8,350,145,4082,13,73,1,8,"	chevrolet","	chevrolet monte carlo s"
15,8,350,145,4440,14,75,1,8,"	chevrolet","	chevrolet bel air"
13,8,350,145,4055,12,76,1,9,"	chevy","	chevy c10"
17.5,8,305,145,3880,12.5,77,1,8,"	chevrolet","	chevrolet caprice classic"
15.5,8,318,145,4140,13.7,77,1,12,"	dodge","	dodge monaco brougham"
19.2,8,305,145,3425,13.2,78,1,8,"	chevrolet","	chevrolet monte carlo landau"
15.5,8,351,142,4054,14.3,79,1,14,"	ford","	ford country squire (sw)"
17,8,302,140,3449,10.5,70,1,14,"	ford","	ford torino"
13,8,302,140,4294,16,72,1,14,"	ford","	ford gran torino (sw)"
16,8,302,140,4141,14,74,1,14,"	ford","	ford gran torino"
14,8,302,140,4638,16,74,1,14,"	ford","	ford gran torino (sw)"
17.5,8,305,140,4215,13,76,1,8,"	chevrolet","	chevrolet chevelle malibu classic"
19.4,8,318,140,3735,13.2,78,1,12,"	dodge","	dodge diplomat"
17.5,8,318,140,4080,13.7,78,1,12,"	dodge","	dodge magnum xe"
20.2,8,302,139,3570,12.8,78,1,21,"	mercury","	mercury monarch ghia"
18.1,8,302,139,3205,11.2,78,1,14,"	ford","	ford futura"
16.5,8,351,138,3955,13.2,79,1,21,"	mercury","	mercury grand marquis"
14,8,302,137,4042,14.5,73,1,14,"	ford","	ford gran torino"
18.2,8,318,135,3830,15.2,79,1,12,"	dodge","	dodge st. regis"
16.2,6,163,133,3410,15.8,78,2,25,"	peugeot","	peugeot 604sl"
32.7,6,168,132,2910,11.4,80,3,11,"	datsun","	datsun 280-zx"
18,8,307,130,3504,12,70,1,8,"	chevrolet","	chevrolet chevelle malibu"
13,8,307,130,4098,14,72,1,8,"	chevrolet","	chevrolet chevelle concours (sw)"
13,8,302,130,3870,15,76,1,14,"	ford","	ford f108"
15,8,302,130,4295,14.9,77,1,21,"	mercury","	mercury cougar brougham"
17,8,305,130,3840,15.4,79,1,8,"	chevrolet","	chevrolet caprice classic"
13,8,302,129,3169,12,75,1,14,"	ford","	ford mustang ii"
17.6,8,302,129,3725,13.4,79,1,14,"	ford","	ford ltd landau"
17,6,163,125,3140,13.6,78,2,36,"	volvo","	volvo 264gl"
19.2,8,267,125,3605,15,79,1,8,"	chevrolet","	chevrolet malibu classic (sw)"
23,8,350,125,3900,17.4,79,1,5,"	cadillac","	cadillac eldorado"
20,6,156,122,2807,13.5,73,3,31,"	toyota","	toyota mark ii"
15.5,8,304,120,3962,13.9,76,1,1,"	amc","	amc matador"
16.5,6,168,120,3820,16.7,76,2,20,"	mercedes-benz","	mercedes-benz 280s"
18.1,6,258,120,3410,15.1,78,1,1,"	amc","	amc concord d/l"
24.2,6,146,120,2930,13.8,81,3,11,"	datsun","	datsun 810 maxima"
25.4,6,168,116,2900,12.6,81,3,31,"	toyota","	toyota cressida"
25,4,121,115,2671,13.5,75,2,29,"	saab","	saab 99le"
21.6,4,121,115,2795,15.7,78,2,29,"	saab","	saab 99gle"
21.5,6,231,115,3245,15.4,79,1,27,"	pontiac","	pontiac lemans v6"
28.8,6,173,115,2595,11.3,79,1,8,"	chevrolet","	chevrolet citation"
26.8,6,173,115,2700,12.9,79,1,23,"	oldsmobile","	oldsmobile omega brougham"
26,4,121,113,2234,12.5,70,2,3,"	bmw","	bmw 2002"
18,4,121,112,2933,14.5,72,2,36,"	volvo","	volvo 145e (sw)"
19,4,121,112,2868,15.5,73,2,36,"	volvo","	volvo 144ea"
22,6,232,112,2835,14.7,82,1,14,"	ford","	ford granada l"
18,6,258,110,2962,13.5,71,1,1,"	amc","	amc hornet sportabout (sw)"
24,4,121,110,2660,14,73,2,29,"	saab","	saab 99le"
16,6,258,110,3632,18,74,1,1,"	amc","	amc matador"
17,6,231,110,3907,21,75,1,4,"	buick","	buick century"
15,6,258,110,3730,19,75,1,1,"	amc","	amc matador"
21,6,231,110,3039,15,75,1,4,"	buick","	buick skyhawk"
20,8,262,110,3221,13.5,75,1,8,"	chevrolet","	chevrolet monza 2+2"
18.5,6,250,110,3645,16.2,76,1,27,"	pontiac","	pontiac ventura sj"
17,8,260,110,4060,19,77,1,23,"	oldsmobile","	oldsmobile cutlass supreme"
17.5,6,250,110,3520,16.4,77,1,8,"	chevrolet","	chevrolet concours"
21.5,4,121,110,2600,12.8,77,2,3,"	bmw","	bmw 320i"
21.5,3,80,110,2720,13.5,77,3,18,"	mazda","	mazda rx-4"
19.9,8,260,110,3365,15.5,78,1,23,"	oldsmobile","	oldsmobile cutlass salon brougham"
18.6,6,225,110,3620,18.7,78,1,12,"	dodge","	dodge aspen"
20.6,6,225,110,3360,16.6,79,1,12,"	dodge","	dodge aspen 6"
23.5,6,173,110,2725,12.6,81,1,8,"	chevrolet","	chevrolet citation"
